Proprietary  Name,Active Ingredient/Moiety,Applicant,NDA/BLA, Application Number(1), Application Number(2), Application Number(3),Dosage Form(1),Route of Administration(1),Dosage Form(2),Route of Administration(2),Dosage Form(3),Route of Administration(3),FDA Receipt Date,FDA Approval Date,Approval Year,Abbreviated Indication(s),Approved Use(s),Review Designation,Orphan Drug Designation,Accelerated Approval,Breakthrough Therapy Designation,Fast Track Designation,Qualified Infectious Disease Product,Issued a Priority Review Voucher,Redeemed a Priority Review Voucher,Notes
Recarbrio,"imipenem, cilastatin, and relebactam",Merck Sharp & Dohme,NDA,212819,,,Powder,Intravenous,,,,,11/16/2018,7/16/2019,2019,,"RECARBRIO is indicated in patients 18 years of age and older who have limited or no alternative treatment options, for the treatment of complicated urinary tract infections (cUTI), including pyelonephritis,caused by the following susceptible gram-negative microorganisms: Enterobacter cloacae, Escherichia coli, Klebsiella aerogenes, Klebsiella pneumoniae, and Pseudomonas aeruginosa.
Approval of this indication is based on limited clinical safety and efficacy data for RECARBRIO. 
RECARBRIO is indicated in patients 18 years of age and older who have limited or no alternative treatment options for the treatment of complicated intra-abdominal infections (cIAI) caused by the following susceptible gram-negative microorganisms: Bacteroides caccae, Bacteroides fragilis, Bacteroides ovatus, Bacteroides stercoris, Bacteroides thetaiotaomicron, Bacteroides uniformis, Bacteroides vulgatus, Citrobacter freundii, Enterobacter cloacae, Escherichia coli, Fusobacterium nucleatum, Klebsiella aerogenes, Klebsiella oxytoca, Klebsiella pneumoniae, Parabacteroides distasonis, and Pseudomonas aeruginosa.
Approval of this indication is based on limited clinical safety and efficacy data for RECARBRIO.
Usage:
To reduce the development of drug-resistant bacteria and maintain the effectiveness of RECARBRIO and other antibacterial drugs, RECARBRIO should be used only to treat or prevent infections that are proven or strongly suspected to be caused by susceptible bacteria. When culture and susceptibility information are available, they should be considered in selecting or modifying antibacterial therapy. In the absence of such data, local epidemiology and susceptibility patterns may contribute to the empiric selection of therapy.",Priority,No,No,No,Yes,Yes,No,No,
Accrufer,ferric maltol,Sheild Therapeutics,NDA,212320,,,Capsule,Oral,,,,,9/27/2018,7/25/2019,2019,,ACCRUFER is indicated for the treatment of iron deficiency in adults.,Standard,No,No,No,No,No,No,No,
Nubeqa,darolutamide,Bayer HealthCare Pharmaceuticals,NDA,212099,,,Tablet,Oral,,,,,2/26/2019,7/30/2019,2019,,NUBEQA is indicated for the treatment of patients with non-metastatic castration resistant prostate cancer (nmCRPC).,Priority,No,No,No,Yes,No,No,No,
Turalio,pexidartinib,Daiichi Sankyo,NDA,211810,,,Capsule,Oral,,,,,12/3/2018,8/2/2019,2019,,TURALIO is indicated for the treatment of adult patients with symptomatic tenosynovial giant cell tumor (TGCT) associated with severe morbidity or functional limitations and not amenable to improvement with surgery.,Priority,Yes,No,Yes,No,No,No,No,
Wakix,pitolisant,Bioprojet Pharma,NDA,211150,,,Tablet,Oral,,,,,12/14/2018,8/14/2019,2019,,WAKIX is indicated for the treatment of excessive daytime sleepiness (EDS) in adult patients with narcolepsy.,Priority,Yes,No,No,Yes,No,No,No,
[drug marketed without a proprietary name],pretomanid,Global Alliance for TB Drug Development,NDA,212862,,,Tablet,Oral,,,,,12/14/2018,8/14/2019,2019,,"Limited Population: Pretomanid Tablet is indicated, as part of a combination regimen with bedaquiline and linezolid for the treatment of adults with pulmonary extensively drug resistant (XDR) or treatment-intolerant or nonresponsive multidrug-resistant (MDR) tuberculosis (TB). Approval of this indication is based on limited clinical safety and efficacy data. This drug is indicated for use in a limited and specific population of patients. Limitations of Use:
- Pretomanid Tablets are not indicated in patients with the following conditions:
-- Drug-sensitive (DS) tuberculosis
-- Latent infection due to Mycobacterium tuberculosis.
-- Extra-pulmonary infection due to Mycobacterium tuberculosis.
-- MDR-TB that is not treatment-intolerant or nonresponsive to standard therapy.
- Safety and effectiveness of Pretomanid Tablets have not been established for its use in combination with drugs other than bedaquiline and linezolid as part of the recommended dosing regimen.",Priority,Yes,No,No,Yes,Yes,TD,No,
Rozlytrek,entrectinib,Genentech,NDA,212725,212726,,Capsule,Oral,Capsule,Oral,,,12/18/2018,8/15/2019,2019,,"[A] ROZLYTREK is indicated for the treatment of adult patients with metastatic non-small cell lung cancer (NSCLC) whose tumors are ROS1-positive.
[B] ROZLYTREK is indicated for the treatment of adult and pediatric patients 12 years of age and older with solid tumors that:
- have a neurotrophic tyrosine receptor kinase (NTRK) gene fusion without a known acquired resistance mutation,
- are metastatic or where surgical resection is likely to result in severe morbidity, and
- have either progressed following treatment or have no satisfactory alternative therapy.
This indication is approved under accelerated approval based on tumor response rate and durability of response. Continued approval for this indication may be contingent upon verification and description of clinical benefit in the confirmatory trials.",Priority,Yes,Yes (indication [B] only),Yes (indication [B] only),No,No,No,No,
Inrebic,fedratinib,Celgene,NDA,212327,,,Capsule,Oral,,,,,1/3/2019,8/16/2019,2019,,INREBIC is indicated for the treatment of adult patients with intermediate-2 or high-risk primary or secondary (post-polycythemia vera or post-essential thrombocythemia) myelofibrosis (MF).,Priority,Yes,No,No,No,No,No,No,
Rinvoq,upadacitinib,Abbvie,NDA,211675,,,"Tablet, Extended Release",Oral,,,,,12/18/2018,8/16/2019,2019,,"RINVOQ (upadacitinib) is indicated for the treatment of adults with moderately to severely active rheumatoid arthritis who have had an inadequate response or intolerance to methotrexate.
Limitation of Use: Use of RINVOQ in combination with other JAK inhibitors, biologic DMARDs, or with potent immunosuppressants such as azathioprine and cyclosporine, is not recommended.",Priority (used priority review voucher),No,No,No,No,No,No,Yes,
Xenleta,lefamulin,Nabriva Therapeutics,NDA,211672,211673,,Tablet,Oral,Injectable,Injection,,,12/19/2018,8/19/2019,2019,,"XENLETA is indicated for the treatment of adults with community-acquired bacterial pneumonia (CABP) caused by the following susceptible microorganisms: Streptococcus pneumoniae, Staphylococcus aureus (methicillin-susceptible isolates), Haemophilus influenzae, Legionella pneumophila, Mycoplasma pneumoniae, and Chlamydophila pneumoniae.
Usage:
To reduce the development of drug-resistant bacteria and maintain the effectiveness of XENLETA and other antibacterial drugs, XENLETA should be used only to treat or prevent infections that are proven or strongly suspected to be caused by susceptible bacteria. When culture and susceptibility information are available, they should be considered in selecting or modifying antibacterial therapy. In the absence of such data, local epidemiology and susceptibility patterns may contribute to the empiric selection of therapy.",Priority,No,No,No,Yes,Yes,No,No,
[drug marketed without a proprietary name],Ga 68 DOTATOC,University of Iowa Health Care,NDA,210828,,,Solution,Intravenous,,,,,5/23/2018,8/21/2019,2019,,Ga 68 DOTATOC Injection is indicated for use with positron emission tomography (PET) for the localization of somatostatin receptor positive neuroendocrine tumors (NETs) in adult and pediatric patients.,Standard,Yes,No,No,No,No,No,No,
Nourianz,istradefylline,Kyowa Kirin,NDA,22075,,,Tablet,Oral,,,,,4/25/2007,8/27/2019,2019,,NOURIANZ is indicated as adjunctive treatment to levodopa/carbidopa in adult patients with Parkinson’s disease (PD) experiencing “off” episodes.,Standard,No,No,No,No,No,No,No,
Ibsrela,tenapanor,Ardelyx,NDA,211801,,,Tablet,Oral,,,,,9/12/2018,9/12/2019,2019,,IBSRELA is indicated for treatment of irritable bowel syndrome with constipation (IBS-C) in adults.,Standard,No,No,No,No,No,No,No,
Aklief,trifarotene,Galderma Research and Development,NDA,211527,,,Cream,Topical,,,,,10/4/2018,10/4/2019,2019,,AKLIEF Cream is a retinoid indicated for the topical treatment of acne vulgaris in patients 9 years of age and older.,Standard,No,No,No,No,No,No,No,
Beovu,brolucizumab-dbll,Novartis Pharmaceuticals,BLA,761125,,,Injectable,Injection,,,,,2/7/2019,10/7/2019,2019,,BEOVU is indicated for the treatment of Neovascular (Wet) Age-related Macular Degeneration (AMD).,Priority (used priority review voucher),No,No,No,No,N/A,No,Yes,
Scenesse,afamelanotide,Clinuvel,NDA,210797,,,Implant,Subcutaneous,,,,,11/8/2018,10/8/2019,2019,,SCENESSE is indicated to increase pain free light exposure in adult patients with a history of phototoxic reactions from erythropoietic protoporphyria (EPP).,Priority,Yes,No,No,Yes,No,No,No,
[drug marketed without a proprietary name],fluorodopa F 18,Feinstein Institute,NDA,200655,,,Solution,Intravenous,,,,,10/22/2012,10/10/2019,2019,,Fluorodopa F 18 Injection is indicated for use in positron emission tomography (PET) to visualize dopaminergic nerve terminals in the striatum for the evaluation of adult patients with suspected Parkinsonian syndromes (PS). Fluorodopa F 18 PET is an adjunct to other diagnostic evaluations.,Standard,No,No,No,No,No,No,No,
Reyvow,lasmiditan,Eli Lilly,NDA,211280,,,Tablet,Oral,,,,,10/11/2018,10/11/2019,2019,,"REYVOW is indicated for the acute treatment of migraine with or without aura in adults.
Limitations of Use:
REYVOW is not indicated for the preventive treatment of migraine.",Standard,No,No,No,No,No,No,No,
Trikafta,"elexacaftor, ivacaftor, tezacaftor; ivacaftor (co-packaged)",Vertex Pharmaceuticals,NDA,212273,,,"Tablet, Tablet",Oral,,,,,7/19/2019,10/21/2019,2019,,"TRIKAFTA is indicated for the treatment of cystic fibrosis (CF) in patients aged 12 years and older who have at least one F508del mutation in the cystic fibrosis transmembrane conductance regulator (CFTR) gene. 
If the patient’s genotype is unknown, an FDA-cleared CF mutation test should be used to confirm the presence of at least one F508del mutation.",Priority,Yes,No,Yes,Yes,No,RPD,No,
ExEm Foam,air polymer-type A,Giskit B.V.,NDA,212279,,,Foam,Intrauterine,,,,,10/9/2018,11/7/2019,2019,,ExEm Foam is indicated for sonohysterosalpingography to assess fallopian tube patency in women with known or suspected infertility.,Standard,No,No,No,No,No,No,No,
Reblozyl,luspatercept-aamt,Celgene,BLA,761136,,,Injectable,Injection,,,,,4/4/2019,11/8/2019,2019,,"REBLOZYL is indicated for the treatment of anemia in adult patients with beta thalassemia who require regular red blood cell (RBC) transfusions.
Limitations of Use:
REBLOZYL is not indicated for use as a substitute for RBC transfusions in patients who require immediate correction of anemia.",Priority,Yes,No,No,Yes,N/A,No,No,
Brukinsa,zanubrutinib,BeiGene USA,NDA,213217,,,Capsule,Oral,,,,,6/27/2019,11/14/2019,2019,,"BRUKINSA is indicated for the treatment of adult patients with mantle cell lymphoma (MCL) who have received at least one prior therapy.
This indication is approved under accelerated approval based on overall response rate. Continued approval for this indication may be contingent upon verification and description of clinical benefit in a confirmatory trial.",Priority,Yes,Yes,Yes,No,No,No,No,
Fetroja,cefiderocol,Shionogi,NDA,209445,,,Powder,Intravenous,,,,,12/14/2018,11/14/2019,2019,,"FETROJA is indicated in patients 18 years of age or older who have limited or no alternative treatment options for the treatment of complicated urinary tract infections (cUTIs), including pyelonephritis caused by the following susceptible Gram-negative microorganisms: Escherichia coli, Klebsiella pneumoniae, Proteus mirabilis, Pseudomonas aeruginosa, and Enterobacter cloacae complex.
Approval of this indication is based on limited clinical safety and efficacy data for FETROJA.
Usage:
To reduce the development of drug-resistant bacteria and maintain the effectiveness of FETROJA and other antibacterial drugs, FETROJA should be used only to treat or prevent infections that are proven or strongly suspected to be caused by susceptible bacteria. When culture and susceptibility information are available, they should be considered in selecting or modifying antibacterial therapy. In the absence of such data, local epidemiology and susceptibility patterns may contribute to the empiric selection of therapy.",Priority,No,No,No,Yes,Yes,No,No,
Adakveo,crizanlizumab-tmca,Novartis Pharmaceuticals,BLA,761128,,,Injectable,Injection,,,,,5/16/2019,11/15/2019,2019,,ADAKVEO is indicated to reduce the frequency of vasoocclusive crises (VOCs) in adults and pediatric patients aged 16 years and older with sickle cell disease.,Priority,Yes,No,Yes,No,N/A,No,No,
Givlaari,givosiran,Alnylam Pharmaceuticals,NDA,212194,,,Solution,Subcutaneous,,,,,6/4/2019,11/20/2019,2019,,GIVLAARI is indicated for the treatment of adults with acute hepatic porphyria (AHP).,Priority,Yes,No,Yes,No,No,No,No,
Xcopri,cenobamate,SK Life Science,NDA,212839,,,Tablet,Oral,,,,,11/21/2018,11/21/2019,2019,,XCOPRI is indicated for the treatment of partial-onset seizures in adult patients.,Standard,No,No,No,No,No,No,No,
Oxbryta,voxelotor,Global Blood Therapeutics,NDA,213137,,,Tablet,Oral,,,,,6/26/2019,11/25/2019,2019,,"OXBRYTA is indicated for the treatment of sickle cell disease (SCD) in adults and pediatric patients 12 years of age and older.
This indication is approved under accelerated approval based on increase in hemoglobin (Hb). Continued approval for this indication may be contingent upon verification and description of clinical benefit in confirmatory trial(s).",Priority,Yes,Yes,Yes,Yes,No,No,No,
Vyondys 53,golodirsen,Sarepta Therapeutics,NDA,211970,,,Solution,Intravenous,,,,,12/19/2018,12/12/2019,2019,,VYONDYS 53 is indicated for the treatment of Duchenne muscular dystrophy (DMD) in patients who have a confirmed mutation of the DMD gene that is amenable to exon 53 skipping. This indication is approved under accelerated approval based on an increase in dystrophin production in skeletal muscle observed in patients treated with VYONDYS 53. Continued approval for this indication may be contingent upon verification of a clinical benefit in confirmatory trials.,Priority,Yes,Yes,No,Yes,No,RPD,No,
Padcev,enfortumab vedotin-ejfv,Astellas Pharma,BLA,761137,,,Powder,Intravenous,,,,,7/15/2019,12/18/2019,2019,,"PADCEV is indicated for the treatment of adult patients with locally advanced or metastatic urothelial cancer (mUC) who have previously received a programmed death receptor-1 (PD-1) or programmed death-ligand 1 (PD-L1) inhibitor, and a platinum-containing chemotherapy in the neoadjuvant/adjuvant, locally advanced or metastatic setting.
This indication is approved under accelerated approval based on tumor response rate. Continued approval for this indication may be contingent upon verification and description of clinical benefit in confirmatory trials.",Priority,No,Yes,Yes,No,N/A,No,No,
Caplyta,lumateperone,Intra-Cellular Therapies,NDA,209500,,,Capsule,Oral,,,,,9/27/2018,12/20/2019,2019,,CAPLYTA is indicated for the treatment of schizophrenia in adults.,Standard,No,No,No,Yes,No,No,No,
Enhertu,fam-trastuzumab deruxtecan-nxki,Daiichi Sankyo,BLA,761139,,,Powder,Intravenous,,,,,8/29/2019,12/20/2019,2019,,"ENHERTU is indicated for the treatment of adult patients with unresectable or metastatic HER2-positive breast cancer who have received two or more prior anti-HER2-based regimens in the metastatic setting.
This indication is approved under accelerated approval based on tumor response rate and duration of response. Continued approval for this indication may be contingent upon verification and description of clinical benefit in a confirmatory trial.",Priority,No,Yes,Yes,Yes,N/A,No,No,
TissueBlue,Brilliant Blue G Ophthalmic Solution,D.O.R.C International b.v,NDA,209569,,,Solution,Ophthalmic,,,,,4/29/2019,12/20/2019,2019,,TissueBlue (Brilliant Blue G Ophthalmic Solution) 0.025% is indicated to selectively stain the internal limiting membrane (ILM).,Priority,Yes,No,No,No,No,No,No,
Dayvigo,lemborexant,Eisai,NDA,212028,,,Tablet,Oral,,,,,12/27/2018,12/20/2019,2019,,"DAYVIGO is indicated for the treatment of adult patients with insomnia, characterized by difficulties with sleep onset and/or sleep maintenance.",Standard,No,No,No,No,No,No,No,
Ubrelvy,ubrogepant,Allergan,NDA,211765,,,Tablet,Oral,,,,,12/26/2018,12/23/2019,2019,,"UBRELVY is indicated for the acute treatment of migraine with or without aura in adults.
Limitations of Use:
UBRELVY is not indicated for the preventive treatment of migraine.",Standard,No,No,No,No,No,No,No,
Ayvakit,avapritinib,Blueprint Medicines Corporation,NDA,212608,,,Tablet,Oral,,,,,6/14/2019,1/9/2020,2020,,"Ayvakit is indicated for the treatment of adults with unresectable or metastatic gastrointestinal stromal tumor (GIST) harboring a platelet-derived growth factor receptor alpha (PDGFRA) exon 18 mutation, including PDGFRA D842V mutations",Priority,Yes,No,Yes,Yes,No,No,No,
Tepezza,teprotumumab-trbw,Horizon Therapeutics Ireland DAC,BLA,761143,,,Injectable,Injection,,,,,7/8/2019,1/21/2020,2020,,Tepezza is indicated for the treatment of thyroid eye disease,Priority,Yes,No,Yes,Yes,N/A,No,No,
Tazverik,tazemetostat,"Epizyme, Inc.",NDA,211723,,,Tablet,Oral,,,,,5/23/2019,1/23/2020,2020,,Tazverik is indicated for the treatment of adults and pediatric patients aged 16 years and older with metastatic or locally advanced epithelioid sarcoma not eligible for complete resection,Priority,Yes,Yes,No,No,No,No,No,
Pizensy,lactitol,"Braintree Laboratories, Inc.",NDA,211281,,,Powder,Oral,,,,,11/21/2018,2/12/2020,2020,,Pizensy is indicated for the treatment of chronic idiopathic constipation (CIC) in adults,Standard,No,No,No,No,No,No,No,
Nexletol,bempedoic acid,"Esperion Therapeutics, Inc.",NDA,211616,,,Tablet,Oral,,,,,2/21/2019,2/21/2020,2020,,Nexletol is indicated as an adjunct to diet and maximally tolerated statin therapy for the treatment of adults with heterozygous familial hypercholesterolemia or established atherosclerotic cardiovascular disease who require additional lowering of LDL-C,Standard,No,No,No,No,No,No,No,
Vyepti,eptinezumab-jjmr,"Lundbeck Seattle BioPharmaceuticals, Inc.",BLA,761119,,,Injectable,Injection,,,,,2/21/2019,2/21/2020,2020,,Vyepti is indicated for the preventive treatment of migraine in adults,Standard,No,No,No,No,N/A,No,No,
Barhemsys,amisulpride,Acacia Pharma Ltd.,NDA,209510,,,Injectable,Injection,,,,,10/5/2017,2/26/2020,2020,,"Barhemsys is indicated for the treatment of PONV in patients who have received antiemetic prophylaxis with an agent of a different class or who have not received prophylaxis . Is indicated for prevention of postoperative nausea and vomiting (PONV), either alone or in combination with an antiemetic of a different class",Standard,No,No,No,No,No,No,No,
Nurtec ODT,rimegepant,Biohaven Pharmaceuticals,NDA,212728,,,Tablet,Oral,,,,,6/27/2019,2/27/2020,2020,,Nurtec ODT is indicated for the acute treatment of migraine with or without aura in adults,Priority (used priority review voucher),No,No,No,No,No,No,Yes,
Sarclisa,isatuximab-irfc,Sanofi Aventis US LLC,BLA,761113,,,Injectable,Injection,,,,,4/30/2019,3/2/2020,2020,,"Sarclisa is indicated in combination with pomalidomide and dexamethasone, for the treatment of adult patients with multiple myeloma who have received at least two prior therapies including lenalidomide and a proteasome inhibitor",Standard,Yes,No,No,No,N/A,No,No,
Isturisa,osilodrostat,Novartis Pharmaceuticals Corporation,NDA,212801,,,Tablet,Oral,,,,,3/7/2019,3/6/2020,2020,,Isturisa is indicated for the treatment of adult patients with Cushing's disease for whom pituitary surgery is not an option or has not been curative,Standard,Yes,No,No,No,No,No,No,
Zeposia,ozanimod,Celgene Corporation,NDA,209899,,,Capsule,Oral,,,,,3/25/2019,3/25/2020,2020,,"Zeposia is indicated for the treatment of relapsing forms of multiple sclerosis (MS), to include clinically isolated syndrome, relapsing-remitting disease, and active secondary progressive disease, in adults",Standard,No,No,No,No,No,No,No,
Koselugo,selumetinib,AstraZeneca Pharmaceuticals LP,NDA,213756,,,Capsule,Oral,,,,,9/13/2019,4/10/2020,2020,,"Koselugo is indicated for the treatment of pediatric patients 2 years of age and older with neurofibromatosis type 1 (NF1) who have symptomatic, inoperable plexiform neurofibromas (PN)",Priority,Yes,No,Yes,No,No,RPD,No,
Pemazyre,pemigatinib,Incyte Corporation,NDA,213736,,,Tablet,Oral,,,,,9/30/2019,4/17/2020,2020,,"Pemazyre is indicated for the treatment of adults with previously treated, unresectable locally advanced or metastatic cholangiocarcinoma with a fibroblast growth factor receptor 2 (FGFR2) fusion or other rearrangement as detected by an FDA-approved test",Priority,Yes,Yes,Yes,No,No,No,No,
Tukysa,tucatinib,"Seattle Genetics, Inc.",NDA,213411,,,Tablet,Oral,,,,,12/20/2019,4/17/2020,2020,,"Tukysa is indicated in combination with trastuzumab and capecitabine for treatment of adult patients with advanced unresectable or metastatic HER2-positive breast cancer, including patients with brain metastases, who have received one or more prior anti-HER2-based regimens in the metastatic setting",Priority,Yes,No,Yes,Yes,No,No,No,
Trodelvy,sacituzumab govitecan-hziy,"Immunomedics, Inc",BLA,761115,,,Powder,Intravenous,,,,,5/18/2018,4/22/2020,2020,,Trodelvy is indicated for the treatment of adult patients with metastatic triple-negative breast cancer (mTNBC) who have received at least two prior therapies for metastatic disease,Priority,No,Yes,Yes,Yes,N/A,No,No,
Ongentys,opicapone,"Neurocrine Biosciences, Inc.",NDA,212489,,,Capsule,Oral,,,,,4/26/2019,4/24/2020,2020,,"Ongentys is indicated for the adjunctive treatment to levodopa/carbidopa in patients with Parkinson's disease (PD) experiencing ""off"" episodes",Standard,No,No,No,No,No,No,No,
Tabrecta,capmatinib,Novartis Pharmaceuticals Corporation,NDA,213591,,,Tablet,Oral,,,,,12/10/2019,5/6/2020,2020,,Tabrecta is indicated for the treatment of adult patients with metastatic non-small cell lung cancer (NSCLC) whose tumors have a mutation that leads to mesenchymal-epithelial transition (MET) exon 14 skipping as detected by an FDA-approved test,Priority,Yes,Yes,Yes,No,No,No,No,
Retevmo,selpercatinib,"Loxo Oncology, Inc.",NDA,213246,,,Capsule,Oral,,,,,12/4/2019,5/8/2020,2020,,Retevmo is indicated for the treatment of adult and pediatric patients 12 years of age and older with advanced or metastatic RET-mutant medullary thyroid cancer (MTC) who require systemic therapy. Is indicated for the treatment of adult and pediatric patients 12 years of age and older with advanced or metastatic RET fusion-positive thyroid cancer who require systemic therapy and who are radioactive iodine-refractory (if radioactive iodine is appropriate) .Is indicated for the treatment of adult patients with metastatic RET fusion-positive non-small cell lung cancer (NSCLC),Priority,Yes,Yes,Yes,No,No,No,No,
Qinlock,ripretinib,"Deciphera Pharmaceuticals, LLC",NDA,213973,,,Tablet,Oral,,,,,12/13/2019,5/15/2020,2020,,"Qinlock is indicated for the treatment of adult patients with advanced gastrointestinal stromal tumor (GIST) who have received prior treatment with 3 or more kinase inhibitors, including imatinib",Priority,Yes,No,Yes,Yes,No,No,No,
Cerianna,fluoroestradiol F 18,Zionexa-US Corporation,NDA,212155,,,Injectable,Injection,,,,,2/27/2019,5/20/2020,2020,,Cerianna is indicated for positron emission tomography (PET) imaging for detection of estrogen receptor (ER)-positive lesions as an adjunct to biopsy in patients with recurrent or metastatic breast cancer,Standard,No,No,No,No,No,No,No,
[drug marketed without a proprietary name],artesunate,"Amivas, LLC",NDA,213036,,,Injectable,Injection,,,,,9/26/2019,5/26/2020,2020,,Artesunate is indicated for the initial treatment of severe malaria in adult and pediatric patients,Priority,Yes,No,Yes,Yes,No,No,No,
Tauvid,flortaucipir F 18,"Avid Radiopharmaceuticals, Inc.",NDA,212123,,,Injectable,Injection,,,,,9/30/2019,5/28/2020,2020,,Tauvid is indicated for positron emission tomography (PET) imaging of the brain to estimate the density and distribution of aggregated tau neurofibrillary tangles (NFTs) in adult patients with cognitive impairment who are being evaluated for Alzheimer’s disease (AD),Priority,No,No,No,No,No,No,No,
Uplizna,inebilizumab-cdon,"Viela Bio, Inc.",BLA,761142,,,Injectable,Injection,,,,,6/11/2019,6/11/2020,2020,,Uplizna is indicated for the treatment of neuromyelitis optica spectrum disorder (NMOSD) in adult patients who are anti-aquaporin-4 (AQP4) antibody positive,Standard,Yes,No,Yes,No,N/A,No,No,
Zepzelca,lurbinectedin,"Pharma Mar USA, Inc.",NDA,213702,,,Injectable,Injection,,,,,12/16/2019,6/15/2020,2020,,Zepzelca is indicated for the treatment of adult patients with metastatic small cell lung cancer (SCLC) with disease progression on or after prior platinum-based chemotherapy,Priority,Yes,Yes,No,No,No,No,No,
Dojolvi,triheptanoin,Ultragenyx Pharmaceutical Inc.,NDA,213687,,,Liquid,Oral,,,,,7/31/2019,6/30/2020,2020,,Dojolvi is indicated for the treatment of pediatric and adult patients with molecularly confirmed long-chain fatty acid oxidation disorders (LC-FAOD),Standard,Yes,No,No,Yes,No,No,No,
Byfavo,remimazolam,"Cosmo Technologies, Ltd.",NDA,212295,,,Injectable,Injection,,,,,4/5/2019,7/2/2020,2020,,Byfavo is indicated for induction and maintenance of procedural sedation in adults undergoing procedures lasting 30 minutes or less,Standard,No,No,No,No,No,No,No,
Rukobia,fostemsavir,ViiV Healthcare Company,NDA,212950,,,Tablet,Oral,,,,,12/4/2019,7/2/2020,2020,,"Rukobia is indicated for the treatment of HIV-1 infection in heavily treatment-experienced adults with multidrug-resistant HIV-1 infection failing their current antiretroviral regimen due to resistance, intolerance, or safety considerations",Priority,No,No,Yes,Yes,No,No,No,
Inqovi,decitabine and cedazuridine,"Astex Pharmaceuticals, Inc.",NDA,212576,,,Tablet,Oral,,,,,12/11/2019,7/7/2020,2020,,"Inqovi is indicated for the treatment of adult patients with myelodysplastic syndromes (MDS), including previously treated and untreated, de novo and secondary MDS with the following French-American-British subtypes (refractory anemia, refractory anemia with ringed sideroblasts, refractory anemia with excess blasts, and chronic myelomonocytic leukemia [CMML]) and intermediate-1, intermediate-2, and high-risk International Prognostic Scoring System groups",Priority,Yes,No,No,No,No,No,No,
Xeglyze,abametapir,Dr. Reddy’s Laboratories,NDA,206966,,,Lotion,Topical,,,,,9/14/2015,7/24/2020,2020,,Xeglyze is indicated for the treatment of head lice infestation in patients 6 months of age and older,Standard,No,No,No,No,No,No,No,
Monjuvi,tafasitamab-cxix,"MorphoSys US, Inc.",BLA,761163,,,Injectable,Injection,,,,,12/30/2019,7/31/2020,2020,,"Monjuvi is indicated in combination with lenalidomide for the treatment of adult patients with relapsed or refractory diffuse large B-cell lymphoma (DLBCL) not otherwise specified, including DLBCL arising from low grade lymphoma, and who are not eligible for autologous stem cell transplant (ASCT)",Priority,Yes,Yes,Yes,Yes,N/A,No,No,
Blenrep,belantamab mafodotin-blmf,GlaxoSmithKline Intellectual Property Development Ltd. England,BLA,761158,,,Injectable,Injection,,,,,12/5/2019,8/5/2020,2020,,"Blenrep is indicated for the treatment of adults with relapsed or refractory multiple myeloma who have received at least four prior therapies including an anti-CD38 monoclonal antibody, a proteasome inhibitor, and an immunomodulatory agent",Priority,Yes,Yes,Yes,No,N/A,No,No,
Lampit,nifurtimox,"Bayer HealthCare Pharmaceuticals, Inc.",NDA,213464,,,Tablet,Oral,,,,,12/6/2019,8/6/2020,2020,,Lampit is indicated for the treatment of Chagas disease in pediatric patients birth to less than 18 years of age and weighing at least 2.5 kg,Priority,Yes,Yes,No,No,No,TD,No,
Evrysdi,risdiplam,"Genentech, Inc.",NDA,213535,,,Powder,Oral,,,,,9/24/2019,8/7/2020,2020,,Evrysdi is indicated for the treatment of later-onset spinal muscular atrophy (SMA) in patients 2 months of age and older. Is indicated for the treatment of infantile-onset spinal muscular atrophy (SMA) in patients 2 months of age and older,Priority,Yes,No,No,Yes,No,RPD,No,
Olinvyk,oliceridine,"Trevena, Inc.",NDA,210730,,,Injectable,Injection,,,,,11/2/2017,8/7/2020,2020,,Olinvyk is indicated for the management of acute pain severe enough to require an intravenous opioid analgesic and for whom alternative treatments are inadequate in adults,Standard,No,No,No,Yes,No,No,No,
Viltepso,viltolarsen,"Nippon Shinyaku Co., Ltd.",NDA,212154,,,Injectable,Injection,,,,,12/12/2019,8/12/2020,2020,,Viltepso is indicated for the treatment of Duchenne muscular dystrophy (DMD) in patients who have a confirmed mutation of the DMD gene that is amenable to exon 53 skipping,Priority,Yes,Yes,No,Yes,No,RPD,No,
Enspryng,satralizumab-mwge,"Genentech, Inc.",BLA,761149,,,Injectable,Injection,,,,,8/15/2019,8/14/2020,2020,,Enspryng is indicated for the treatment of neuromyelitis optica spectrum disorder (NMOSD) in adult patients who are anti-aquaporin-4 (AQP4) antibody positive,Standard,Yes,No,Yes,Yes,N/A,No,No,
Winlevi,clascoterone,Cassiopea SpA,NDA,213433,,,Cream,Topical,,,,,8/27/2019,8/26/2020,2020,,Winlevi is indicated for the topical treatment of acne vulgaris in patients 12 years of age and older,Standard,No,No,No,No,No,No,No,
Sogroya,somapacitan-beco,"Novo Nordisk, Inc.",BLA,761156,,,Injectable,Injection,,,,,8/28/2019,8/28/2020,2020,,Sogroya is indicated for the replacement of endogenous growth hormone in adults with growth hormone deficiency,Standard,No,No,No,No,N/A,No,No,
Detectnet,copper Cu 64 dotatate,"RadioMedix, Inc.",NDA,213227,,,Injectable,Injection,,,,,1/3/2020,9/3/2020,2020,,Detectnet is indicated for positron emission tomography (PET) for localization of somatostatin receptor positive neuroendocrine tumors (NETs) in adults,Priority,Yes,No,No,Yes,No,No,No,
